symbol,name,industry,error_type,error_message
001280,中国铀业,unknown,ValueError,同比计算所需上一年同期 20250331 未在截面日前公告。
600930,华电新能,unknown,ValueError,同比计算所需上一年同期 20250331 未在截面日前公告。
