symbol,name,report_period,announcement_date,announcement_title,announcement_url
601818,光大银行,20250930,2025-10-31,中国光大银行股份有限公司2025年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601818&announcementId=1224775368&orgId=9900006246&announcementTime=2025-10-31
601818,光大银行,20251231,2026-03-31,中国光大银行股份有限公司2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601818&announcementId=1225068417&orgId=9900006246&announcementTime=2026-03-31
601818,光大银行,20260331,2026-04-30,中国光大银行股份有限公司2026年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601818&announcementId=1225262113&orgId=9900006246&announcementTime=2026-04-30
601825,沪农商行,20231231,2024-04-26,上海农村商业银行股份有限公司2023年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1219834232&orgId=9900010687&announcementTime=2024-04-26
601825,沪农商行,20240331,2024-04-26,上海农村商业银行股份有限公司2024年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1219834233&orgId=9900010687&announcementTime=2024-04-26
601825,沪农商行,20240630,2024-08-17,上海农村商业银行股份有限公司2024年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1220893416&orgId=9900010687&announcementTime=2024-08-17
601825,沪农商行,20240930,2024-10-26,上海农村商业银行股份有限公司2024年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1221521894&orgId=9900010687&announcementTime=2024-10-26
601825,沪农商行,20241231,2025-04-25,上海农商银行股份有限公司2024年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1223285577&orgId=9900010687&announcementTime=2025-04-25
601825,沪农商行,20250331,2025-04-25,上海农村商业银行股份有限公司2025年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1223285564&orgId=9900010687&announcementTime=2025-04-25
601825,沪农商行,20250630,2025-08-30,上海农村商业银行股份有限公司2025年半年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1224626172&orgId=9900010687&announcementTime=2025-08-30
601825,沪农商行,20250930,2025-10-31,上海农村商业银行股份有限公司2025年第三季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1224772711&orgId=9900010687&announcementTime=2025-10-31
601825,沪农商行,20251231,2026-04-23,上海农村商业银行股份有限公司2025年年度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1225150337&orgId=9900010687&announcementTime=2026-04-23
601825,沪农商行,20260331,2026-04-23,上海农村商业银行股份有限公司2026年第一季度报告,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=601825&announcementId=1225150366&orgId=9900010687&announcementTime=2026-04-23
