symbol,name,industry,asof_date,price_asof_date,financial_report_period,financial_announcement_date,momentum_20d,turnover_change,pe_percentile,pb_percentile,roe,gross_margin,revenue_growth_yoy,net_profit_growth_yoy,volatility_60d
000001,平安银行,unknown,20260520,2026-05-20,20260331,2026-04-25,-0.02157598499061919,-0.213753988461594,0.29799107142857145,0.026785714285714284,2.83,71.910876,0.04651576730250073,0.030292281498297324,0.16796519735539833
000002,万科A,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.09090909090909083,0.015858936138184898,0.35044642857142855,0.2421875,-5.23,9.145383,-0.2386325595234685,-0.04707692893445348,0.30510768876366423
000063,中兴通讯,unknown,20260520,2026-05-20,20260331,2026-04-25,0.052363430512312625,-0.036241270184685925,0.9955307262569832,0.5401785714285714,1.72,28.276157,0.061266955583496374,-0.46581650206345093,0.37136072415227844
000100,TCL科技,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.016587677725118377,0.00316259921009876,0.3754189944134078,0.11495535714285714,2.47,12.497483,0.08370838887481002,0.5371204827758869,0.3316094244468415
000157,中联重科,unknown,20260520,2026-05-20,20260331,2026-04-29,-0.10161090458488231,-0.22614264544804885,0.26004464285714285,0.46763392857142855,1.52,27.692633,0.06893642775503594,-0.3730209773081916,0.40223931659312806
000166,申万宏源,unknown,20260520,2026-05-20,20260331,2026-04-30,-0.05696202531645578,0.14071478150820882,0.005580357142857143,0.002232142857142857,2.08,55.146892,0.11717668563743366,0.1915405509848056,0.1893137194021926
000301,东方盛虹,unknown,20260520,2026-05-20,20260331,2026-04-29,0.04519309778142988,-0.07590721949601531,0.6975446428571429,0.5904017857142857,4.11,18.92074,0.05651817836630202,3.1986308476394143,0.4630777909285251
000333,美的集团,unknown,20260520,2026-05-20,20260331,2026-04-30,0.03623649078194524,0.13450818723146618,0.6659217877094972,0.44642857142857145,5.56,25.571131,0.0245463502194736,0.020312209568118744,0.2027519550083676
000338,潍柴动力,unknown,20260520,2026-05-20,20260331,2026-04-30,0.23056603773584894,-0.08475018448176952,0.9921875,0.9832402234636871,3.27,21.430759,0.08874102246648641,0.1383110155966265,0.601717967998822
000408,藏格矿业,unknown,20260520,2026-05-20,20260331,2026-04-18,-0.0582203889216264,0.06659142433473852,0.6796875,0.8816964285714286,9.24,64.231124,0.2960846818591527,1.1060445278939968,0.41821583305050547
