factor,name,category,direction,n,pearson_ic_raw,spearman_ic_raw,pearson_ic_adjusted,spearman_ic_adjusted
momentum_20d,月度动量,动量,1,298,0.34680288159716965,0.208187225062269,0.34680288159716965,0.208187225062269
revenue_growth_yoy,营收增长率,成长,1,298,0.2465988943111108,0.2081782220467751,0.2465988943111108,0.2081782220467751
roe,ROE,质量,1,298,0.15814555737571653,0.1602007791161551,0.15814555737571653,0.1602007791161551
net_profit_growth_yoy,净利润增长率,成长,1,298,0.026489027966097072,0.13157155479507557,0.026489027966097072,0.13157155479507557
gross_margin,毛利率,质量,1,298,0.016287617585672643,0.10632160257828432,0.016287617585672643,0.10632160257828432
volatility_60d,60日波动率,波动,-1,298,0.1819590916030543,-0.08408556497473059,-0.1819590916030543,0.08408556497473059
turnover_change,换手率变化,动量,1,298,0.09150053429797615,-0.008332534112020675,0.09150053429797615,-0.008332534112020675
pe_percentile,PE分位数,价值,-1,298,0.20123364941271926,0.12351426862097709,-0.20123364941271926,-0.12351426862097709
pb_percentile,PB分位数,价值,-1,298,0.2628588534439989,0.15911836219338463,-0.2628588534439989,-0.15911836219338463
