symbol,name,industry,momentum_20d,turnover_change,pe_percentile,pb_percentile,roe,gross_margin,revenue_growth_yoy,net_profit_growth_yoy,volatility_60d
000001,平安银行,unknown,0.0357833655705996,0.0151255827855716,0.199124726477024,0.0043763676148796,2.83,71.910876,0.0465157673025007,0.0302922814982973,0.1747047458799972
000002,万科A,unknown,-0.1146131805157594,-0.1367546485719071,0.3632385120350109,0.0557986870897155,-5.23,9.145383,-0.2386325595234685,-0.0470769289344534,0.3189309989856785
000063,中兴通讯,unknown,0.0479735318444993,-0.0743560982778197,0.9868565169769988,0.5864332603938731,1.72,28.276157,0.0612669555834963,-0.4658165020634509,0.4864515419520145
000100,TCL科技,unknown,0.1149425287356322,0.0976580997305884,0.4030668127053669,0.7768052516411379,2.47,12.497483,0.08370838887481,0.5371204827758869,0.4312889919066103
000157,中联重科,unknown,-0.0133689839572193,-0.0460255751852016,0.2691466083150984,0.5054704595185996,1.52,27.692633,0.0689364277550359,-0.3730209773081916,0.3620536607781708
000166,申万宏源,unknown,0.0359550561797752,0.2323449460585718,0.0306345733041575,0.024070021881838,2.08,55.146892,0.1171766856374336,0.1915405509848056,0.2225279543872531
000301,东方盛虹,unknown,-0.0403551251008877,0.1589415208542495,0.6663019693654267,0.5284463894967177,4.11,18.92074,0.056518178366302,3.1986308476394143,0.384984651887234
000333,美的集团,unknown,-0.021801779225661,0.0735318083340417,0.4348302300109529,0.1433260393873085,5.56,25.571131,0.0245463502194736,0.0203122095681187,0.2245671080221157
000338,潍柴动力,unknown,-0.1435897435897436,-0.0806337610784948,0.9463894967177244,0.9463307776560788,3.27,21.430759,0.0887410224664864,0.1383110155966265,0.5684166330279331
000408,藏格矿业,unknown,-0.0845959595959596,0.1914277381716358,0.587527352297593,0.7757111597374179,9.24,64.231124,0.2960846818591527,1.1060445278939968,0.4675056221982702
000425,徐工机械,unknown,-0.1086065573770492,-0.1680507209305276,0.4606126914660831,0.6681270536692223,3.34,22.051513,0.0925845175204056,0.0086237121656489,0.511843965957787
000538,云南白药,unknown,-0.0190014149989892,-0.1422637890763892,0.0010940919037199,0.0010940919037199,4.96,30.633088,0.0702280674461037,0.0530679752173206,0.1475703924853869
