symbol,name,industry,momentum_20d,turnover_change,pe_percentile,pb_percentile,roe,gross_margin,revenue_growth_yoy,net_profit_growth_yoy,volatility_60d
600519,贵州茅台,食品饮料,-0.04932808660217136,0.1055863181839034,0.00437636761487965,0.0032822757111597373,10.57,89.759217,0.063360092771233,0.0147141829498314,0.2170822914486964
600887,伊利股份,食品饮料,-0.03624901497241917,0.0704137077812188,0.0437636761487965,0.015317286652078774,9.44,38.374706,0.054718973008351934,0.10679850661484425,0.19574766396895293
000333,美的集团,家用电器,-0.021801779225661067,0.07353180833404172,0.5393873085339168,0.1925601750547046,5.56,25.571131,0.0245463502194736,0.020312209568118744,0.22456710802211577
002594,比亚迪,汽车,-0.11421425593997492,0.19665773477664472,0.43216630196936545,0.0010940919037199124,1.65,18.806213,-0.11819136563904786,-0.5538440532671545,0.2813735761447476
002352,顺丰控股,交通运输,-0.11959573273441881,0.2304356249497419,0.0010940919037199124,0.0010940919037199124,2.52,13.737617,0.06144884280761698,0.13048580765259277,0.1918292703487296
600036,招商银行,银行,0.012452625879805224,-0.003829752852513413,0.32713347921225383,0.053610503282275714,3.37,51.374511,0.038077157287674135,0.015179960306817675,0.14790756667553545
600941,中国移动,通信,-0.04211640211640211,0.13631133993333266,0.2883435582822086,0.2570552147239264,2.1,25.350685,0.010304822565968985,-0.042081551369527626,0.1518823297980504
600276,恒瑞医药,医药生物,-0.005078204346942949,0.04431937610064951,0.038293216630196934,0.015317286652078774,4.15,86.598607,0.12975362979303684,0.21782316948345093,0.35637892590730846
300750,宁德时代,电力设备,-0.025739674344718022,0.05925834744002767,0.3238512035010941,0.3927789934354486,5.98,24.815621,0.5244869554824236,0.485237160697918,0.39650528485543574
600900,长江电力,公用事业,0.007499062617172925,-0.024980268740599998,0.12035010940919037,0.29540481400437635,3.01,55.646317,0.06442778170349395,0.3050157685080972,0.13501909555681954
