rank,symbol,name,industry,composite_score,momentum_20d,pe_percentile,pb_percentile,roe,gross_margin,revenue_growth_yoy,net_profit_growth_yoy,volatility_60d
1,600519,贵州茅台,食品饮料,0.6558217728372528,-0.0493280866021713,0.0043763676148796,0.0032822757111597,10.57,89.759217,0.063360092771233,0.0147141829498314,0.2170822914486964
2,600887,伊利股份,食品饮料,0.39893159583630977,-0.0362490149724191,0.0437636761487965,0.0153172866520787,9.44,38.374706,0.0547189730083519,0.1067985066148442,0.1957476639689529
3,600276,恒瑞医药,医药生物,0.3735747772777067,-0.0050782043469429,0.0382932166301969,0.0153172866520787,4.15,86.598607,0.1297536297930368,0.2178231694834509,0.3563789259073084
4,600900,长江电力,公用事业,0.10761734786584931,0.0074990626171729,0.1203501094091903,0.2954048140043763,3.01,55.646317,0.0644277817034939,0.3050157685080972,0.1350190955568195
5,600036,招商银行,银行,0.04549381687711211,0.0124526258798052,0.3271334792122538,0.0536105032822757,3.37,51.374511,0.0380771572876741,0.0151799603068176,0.1479075666755354
